task_row_index,source_no,composition_group,composition_group_rows,outer_split,optuna_validation_fold,material_class,reference,temperature_celsius,chloride_molar,pH,test_method,target_decile,target_mV_SCE_development_only,"Composition, wt.% Fe","Composition, wt.% Cr","Composition, wt.% Ni","Composition, wt.% Mo","Composition, wt.% W","Composition, wt.% Nb","Composition, wt.% Al","Composition, wt.% V","Composition, wt.% Ta","Composition, wt.% Re","Composition, wt.% Ce","Composition, wt.% Ti","Composition, wt.% Co","Composition, wt.% B","Composition, wt.% Mg","Composition, wt.% Y","Composition, wt.% Gd"
93,94,composition_0033,2,development,3,Fe Alloy,73,60,0.1,1,"Polarization curves were obtained potentiodynamically at a scan rate of 20 mV/min, using a Tacussel electrochemical set composed of a potentiostat, a current recorder, and a high impedance electronic millivoltmeter.",5,252.058,56.644,16.22,14,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0
94,95,composition_0030,4,development,4,Fe Alloy,73,60,0.2,1,"Polarization curves were obtained potentiodynamically at a scan rate of 20 mV/min, using a Tacussel electrochemical set composed of a potentiostat, a current recorder, and a high impedance electronic millivoltmeter.",4,122.901,66.475,16.3,14,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0
95,96,composition_0031,4,development,5,Fe Alloy,73,60,0.2,1,"Polarization curves were obtained potentiodynamically at a scan rate of 20 mV/min, using a Tacussel electrochemical set composed of a potentiostat, a current recorder, and a high impedance electronic millivoltmeter.",4,185.496,63.874,16.5,14.1,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0
96,97,composition_0032,2,development,3,Fe Alloy,73,60,0.2,1,"Polarization curves were obtained potentiodynamically at a scan rate of 20 mV/min, using a Tacussel electrochemical set composed of a potentiostat, a current recorder, and a high impedance electronic millivoltmeter.",6,286.26,60.344,16.17,14.1,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0
97,98,composition_0033,2,development,3,Fe Alloy,73,60,0.2,1,"Polarization curves were obtained potentiodynamically at a scan rate of 20 mV/min, using a Tacussel electrochemical set composed of a potentiostat, a current recorder, and a high impedance electronic millivoltmeter.",6,315.267,56.644,16.22,14,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0
98,99,composition_0034,2,development,4,Fe Alloy,36,80,0.0007,7,"Potentiodynamic Polarization. The potential was controlled by a Wenkingt potentiostat (Model 68 TS-3) and changed in steps of 10 mV with a Wenking SMP 69 scanning potentiometer every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current. The potential was initially held at 150 mV for 1 h to attain stable current, whereupon the scanning potentiometer was activated.",7,455,72.069,16.62,8.46,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
99,100,composition_0035,2,final_test,,Fe Alloy,36,80,0.0007,7,"Potentiodynamic Polarization. The potential was controlled by a Wenkingt potentiostat (Model 68 TS-3) and changed in steps of 10 mV with a Wenking SMP 69 scanning potentiometer every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current. The potential was initially held at 150 mV for 1 h to attain stable current, whereupon the scanning potentiometer was activated.",8,,47.753,18.5,31.79,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,101,composition_0036,2,development,2,Other,36,80,0.0007,7,"Potentiodynamic Polarization. The potential was controlled by a Wenkingt potentiostat (Model 68 TS-3) and changed in steps of 10 mV with a Wenking SMP 69 scanning potentiometer every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current. The potential was initially held at 150 mV for 1 h to attain stable current, whereupon the scanning potentiometer was activated.",9,605,9.719,15.5,73.86,,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,composition_0034,2,development,4,Fe Alloy,36,80,0.0007,7,"Potentiodynamic Polarization. The potential was controlled by a Wenkingt potentiostat (Model 68 TS-3) and changed in steps of 10 mV with a Wenking SMP 69 scanning potentiometer every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current. The potential was initially held at 150 mV for 1 h to attain stable current, whereupon the scanning potentiometer was activated.",4,170,72.069,16.62,8.46,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
102,103,composition_0035,2,final_test,,Fe Alloy,36,80,0.0007,7,"Potentiodynamic Polarization. The potential was controlled by a Wenkingt potentiostat (Model 68 TS-3) and changed in steps of 10 mV with a Wenking SMP 69 scanning potentiometer every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current. The potential was initially held at 150 mV for 1 h to attain stable current, whereupon the scanning potentiometer was activated.",5,,47.753,18.5,31.79,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
103,104,composition_0036,2,development,2,Other,36,80,0.0007,7,"Potentiodynamic Polarization. The potential was controlled by a Wenkingt potentiostat (Model 68 TS-3) and changed in steps of 10 mV with a Wenking SMP 69 scanning potentiometer every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current. The potential was initially held at 150 mV for 1 h to attain stable current, whereupon the scanning potentiometer was activated.",6,305,9.719,15.5,73.86,,0,0,0,0,0,0,0,0,0,0,0,0,0
104,105,composition_0037,12,final_test,,Fe Alloy,37,40,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",6,,53.167,20.14,24.75,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
105,106,composition_0037,12,final_test,,Fe Alloy,37,40,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",8,,53.102,20.14,24.75,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
106,107,composition_0037,12,final_test,,Fe Alloy,37,40,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",8,,52.927,20.03,24.87,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
107,108,composition_0037,12,final_test,,Fe Alloy,37,40,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",9,,52.917,19.96,24.9,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
108,109,composition_0037,12,final_test,,Fe Alloy,37,50,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",5,,53.167,20.14,24.75,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
109,110,composition_0037,12,final_test,,Fe Alloy,37,50,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",6,,53.102,20.14,24.75,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
110,111,composition_0037,12,final_test,,Fe Alloy,37,50,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,,52.927,20.03,24.87,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
111,112,composition_0037,12,final_test,,Fe Alloy,37,50,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,,52.917,19.96,24.9,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
112,113,composition_0038,2,final_test,,Fe Alloy,37,75,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,,49.452,19.2,24.86,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
113,114,composition_0039,12,development,2,Fe Alloy,37,75,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",8,457.9,48.739,19.85,24.86,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
114,115,composition_0039,12,development,2,Fe Alloy,37,75,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",8,583.31,48.536,19.87,24.95,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
115,116,composition_0039,12,development,2,Fe Alloy,37,75,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",9,740.08,48.377,19.83,24.99,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0
116,117,composition_0038,2,final_test,,Fe Alloy,37,90,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,,49.452,19.2,24.86,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
117,118,composition_0039,12,development,2,Fe Alloy,37,90,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,361.42,48.739,19.85,24.86,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
118,119,composition_0039,12,development,2,Fe Alloy,37,90,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,436.55,48.536,19.87,24.95,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
119,120,composition_0039,12,development,2,Fe Alloy,37,90,1,7,"Potentiodynamic Polarization. For pitting tests, specimens were allowed to passivate in air for at least 18 h prior to testing.",7,450.76,48.377,19.83,24.99,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0
120,121,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,4,190.77,67.041,21.89,5.57,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0
121,122,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,5,225.31,67.213,21.72,5.58,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
122,123,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,5,226.23,66.839,21.92,5.6,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0
123,124,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,6,277.95,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
124,125,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,7,352.91,67.24,21.7,5.51,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0
125,126,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,9,724.53,67.17,21.7,5.51,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
126,127,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,4,156.33,67.041,21.89,5.57,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0
127,128,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,4,169.92,67.213,21.72,5.58,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
128,129,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,4,163.34,66.839,21.92,5.6,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0
129,130,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,4,186.61,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
130,131,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,5,243.61,67.24,21.7,5.51,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0
131,132,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,8,461.75,67.17,21.7,5.51,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
132,133,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,5,256.93,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
133,134,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,5,243.35,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
134,135,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,4,160.4,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
135,136,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,3,88.43,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
136,137,composition_0040,17,development,2,Fe Alloy,38,60,0.9,7,Potentiodynamic Polarization,3,58.67,66.908,21.75,5.56,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
137,138,composition_0041,4,development,1,Fe Alloy,40,65,0.62,7,"Potentiodynamic Polarization. Potentiodynamic sweeps in hot 3.5% NaCl solution were carried out at a rate of 1 mV s-1. The tests were carried out in a glass three-electrode cell held in a water bath at 65 °C. In all experiments the rod under test was supported in a holder on the lid of the cell such that the end face just touched the surface of the test solution as described above. The counter electrode was a platinum wire, the reference electrode a saturated calomel electrode (SCE) at the same solution temperature; all potentials are given against the SCE. The potential at which the current density exceeded 50 uA cm-2 was defined as the pitting potential.",6,322,61.679,25.92,5.9,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0
138,139,composition_0041,4,development,1,Fe Alloy,40,65,0.62,7,"Potentiodynamic Polarization. Potentiodynamic sweeps in hot 3.5% NaCl solution were carried out at a rate of 1 mV s-1. The tests were carried out in a glass three-electrode cell held in a water bath at 65 °C. In all experiments the rod under test was supported in a holder on the lid of the cell such that the end face just touched the surface of the test solution as described above. The counter electrode was a platinum wire, the reference electrode a saturated calomel electrode (SCE) at the same solution temperature; all potentials are given against the SCE. The potential at which the current density exceeded 50 uA cm-2 was defined as the pitting potential.",5,255,61.679,25.92,5.9,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0
139,140,composition_0041,4,development,1,Fe Alloy,40,65,0.62,7,"Potentiodynamic Polarization. Potentiodynamic sweeps in hot 3.5% NaCl solution were carried out at a rate of 1 mV s-1. The tests were carried out in a glass three-electrode cell held in a water bath at 65 °C. In all experiments the rod under test was supported in a holder on the lid of the cell such that the end face just touched the surface of the test solution as described above. The counter electrode was a platinum wire, the reference electrode a saturated calomel electrode (SCE) at the same solution temperature; all potentials are given against the SCE. The potential at which the current density exceeded 50 uA cm-2 was defined as the pitting potential.",5,209,61.679,25.92,5.9,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0
140,141,composition_0041,4,development,1,Fe Alloy,40,65,0.62,7,"Potentiodynamic Polarization. Potentiodynamic sweeps in hot 3.5% NaCl solution were carried out at a rate of 1 mV s-1. The tests were carried out in a glass three-electrode cell held in a water bath at 65 °C. In all experiments the rod under test was supported in a holder on the lid of the cell such that the end face just touched the surface of the test solution as described above. The counter electrode was a platinum wire, the reference electrode a saturated calomel electrode (SCE) at the same solution temperature; all potentials are given against the SCE. The potential at which the current density exceeded 50 uA cm-2 was defined as the pitting potential.",4,176,61.679,25.92,5.9,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0
141,142,composition_0042,1,development,3,Fe Alloy,41,27,0.5,0,Potentiodynamic Polarization,8,547.7,65.885,20.8,11.7,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
142,143,composition_0043,1,development,4,Fe Alloy,41,27,0.5,0,Potentiodynamic Polarization,8,562.99,66.856,20.9,10.5,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
143,144,composition_0044,1,development,1,Fe Alloy,41,27,0.5,0,Potentiodynamic Polarization,9,625,68.218,20.8,9.2,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
144,145,composition_0045,1,development,4,Fe Alloy,41,27,0.5,0,Potentiodynamic Polarization,9,682.64,69.102,21,8,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
145,146,composition_0046,2,development,2,Fe Alloy,41,27,0.5,0,Potentiodynamic Polarization,9,726.74,70.315,20.6,7.4,,0,0,0,0,0,0,0,0,0,0,0,0,0
146,147,composition_0046,2,development,2,Fe Alloy,41,27,0.5,0,Potentiodynamic Polarization,9,765.17,70.572,20.5,7.2,,0,0,0,0,0,0,0,0,0,0,0,0,0
147,148,composition_0047,4,development,3,Fe Alloy,45,,0,0,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",8,500,64.23,17.4,13.2,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0
148,149,composition_0047,4,development,3,Fe Alloy,45,,3,7,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",9,720,64.23,17.4,13.2,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0
149,150,composition_0047,4,development,3,Fe Alloy,45,,4,7,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",8,500,64.23,17.4,13.2,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0
150,151,composition_0047,4,development,3,Fe Alloy,45,,6.2,7,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",7,350,64.23,17.4,13.2,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0
151,152,composition_0048,2,development,2,Fe Alloy,31,22,0.5,1,"Potentiodynamic Polarization. All solutions used were deaerated with high-purity argon for at least 2 h before analysis. Potentials were measured against a saturated calomel electrode (SCE). Cathodic pretreatments were performed in 0.1 M hydrochloric acid (HCl) for 15 min at –700 mV SCE , while the current was monitored, in order to remove the air-formed oxide film.",5,239,59.3898,20.12,20.18,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0
152,153,composition_0049,5,development,3,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,2,-185,82.37,16.35,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
153,154,composition_0049,5,development,3,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,2,-130,82.37,16.35,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
154,155,composition_0049,5,development,3,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,2,-100,82.37,16.35,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
155,156,composition_0049,5,development,3,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,2,-35,82.37,16.35,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
156,157,composition_0050,4,development,1,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,2,-50,71.07,18.1,8.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
157,158,composition_0050,4,development,1,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,3,-20,71.07,18.1,8.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
158,159,composition_0050,4,development,1,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,3,50,71.07,18.1,8.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
159,160,composition_0050,4,development,1,Fe Alloy,46,25,1,7,Potentiodynamic Polarization,3,65,71.07,18.1,8.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0
160,161,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",3,26.83,63.115,17.95,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,162,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",3,49.87,63.164,17.88,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,163,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",4,107.73,63.07,17.88,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,164,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",6,265.77,62.871,17.88,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,165,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",6,306.39,62.778,18.1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,166,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",6,334.86,63.201,17.83,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,167,composition_0051,7,development,2,Fe Alloy,47,,0.0171117,5,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",7,398.91,62.042,18.25,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,168,composition_0037,12,final_test,,Fe Alloy,42,40,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,6,,53.127,20.14,24.75,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
168,169,composition_0037,12,final_test,,Fe Alloy,42,40,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,7,,53.062,20.14,24.75,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
169,170,composition_0037,12,final_test,,Fe Alloy,42,40,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,8,,52.888,20.03,24.87,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
170,171,composition_0037,12,final_test,,Fe Alloy,42,40,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,9,,52.878,19.96,24.9,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
171,172,composition_0039,12,development,2,Fe Alloy,42,75,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,7,441.12,48.759,19.85,24.86,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
172,173,composition_0039,12,development,2,Fe Alloy,42,75,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,7,443.98,48.696,19.85,24.86,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
173,174,composition_0039,12,development,2,Fe Alloy,42,75,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,8,589.29,48.494,19.87,24.95,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
174,175,composition_0039,12,development,2,Fe Alloy,42,75,1,7,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,9,751.98,48.332,19.83,24.99,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0
175,176,composition_0052,1,development,3,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,3,0,52.208,20.06,25.58,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
176,177,composition_0053,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,3,,51.044,19.99,25.88,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
177,178,composition_0054,1,development,3,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,9,850,49.277,20.16,25.52,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0
178,179,composition_0055,1,development,5,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,9,850,47.343,19.96,25.66,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0
179,180,composition_0056,1,development,5,Other,57,25,1,0,Potentiodynamic Polarization,9,830,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,181,composition_0057,10,development,4,Other,57,25,1,0,Potentiodynamic Polarization,2,-150,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,182,composition_0058,1,development,4,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,3,0,55,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,183,composition_0059,2,development,4,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,9,850,50,20,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
183,184,composition_0060,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,2,,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,185,composition_0061,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,2,,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,186,composition_0062,1,development,5,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,4,180,77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,187,composition_0063,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,10,,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,188,composition_0064,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,10,,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,189,composition_0065,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,10,,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,190,composition_0066,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,10,,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,191,composition_0067,1,development,5,Other,57,25,1,0,Potentiodynamic Polarization,9,850,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,192,composition_0068,1,development,3,Fe Alloy,57,25,0,0,Potentiodynamic Polarization,10,1500,96,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
192,193,composition_0069,1,development,5,Fe Alloy,57,25,0,0,Potentiodynamic Polarization,10,1550,92,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
193,194,composition_0070,1,development,5,Fe Alloy,57,25,0,0,Potentiodynamic Polarization,10,1550,90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
194,195,composition_0071,1,development,5,Fe Alloy,57,25,0,0,Potentiodynamic Polarization,10,1550,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
195,196,composition_0072,1,development,2,Fe Alloy,57,25,0,0,Potentiodynamic Polarization,10,1600,41,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
196,197,composition_0073,1,final_test,,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,1,,65,5,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
197,198,composition_0074,1,development,5,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,5,250,60,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
198,199,composition_0075,1,development,5,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,7,350,56,14,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
199,200,composition_0076,1,development,5,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,7,400,53,17,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
200,201,composition_0059,2,development,4,Fe Alloy,57,25,1,0,Potentiodynamic Polarization,10,880,50,20,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0
201,202,composition_0077,4,development,2,Fe Alloy,58,25,0,0.699,Potentiodynamic Polarization,8,497,75.586,24.3,0,0.063,,0,0,0,0,0,0,0,0,0,0,0,0
202,203,composition_0078,2,development,5,Fe Alloy,58,25,0,0.699,Potentiodynamic Polarization,10,895,64.66,24.3,0,10.9,0.015,0,0,0,0,0,0,0,0,0,0,0,0
203,204,composition_0077,4,development,2,Fe Alloy,58,25,0.12,0.699,Potentiodynamic Polarization,10,1056,75.586,24.3,0,0.063,,0,0,0,0,0,0,0,0,0,0,0,0
